(1) Saldo de la cartera a la fecha de corte del reporte,(2) Vigente,(3) Vencida 1-2 Meses,(4) Vencida 2-3 Meses,(5) Vencida 1-3 Meses,(6) Vencida 3-4 Meses,(7) Vencida > de 4 Meses,(8) Vencida 3-6 Meses,(9) Vencida +6 meses,(10) Vencida 1-4 meses,(11) Vencida 4-6 meses,(12) Vencida 6-12 meses,(13) Vencida 12-18 meses,(14) Vencida > 12 meses,(15) Vencida > 18 meses,(16) Número de clientes Mora > 30 días,(17) Calificación de Riesgo A / Número de Clientes,(18) Calificación de Riesgo A / Saldo,(19) Calificación de Riesgo B / Número de Clientes,(20) Calificación de Riesgo B / Saldo,(21) Calificación de Riesgo C / Número de Clientes,(22) Calificación de Riesgo C / Saldo,(23) Calificación de Riesgo D / Número de Clientes,(24) Calificación de Riesgo D / Saldo,(25) Calificación de Riesgo E / Número de Clientes,(26) Calificación de Riesgo E / Saldo,año,mes,dia
3910991456687.0,3586614154728.0,38660196121.0,27120208563.0,0.0,21383474546.0,237213422729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76183,680714,3394938162879.0,37917,153057169053.0,933853,61251642098.0,9683,36180363816.0,63012,265564118841.0,2017,10,31
3906900604678.0,3576655637782.0,40469163151.0,28419188878.0,0.0,22862895731.0,238493719136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80590,679549,3388625967975.0,37746,152621652352.0,935920,61640024052.0,9866,37064970234.0,66497,266947990065.0,2017,11,30
3922440685143.0,3581743875388.0,40630670830.0,29788089435.0,0.0,24344272553.0,245933776937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85674,675865,3381661678904.0,38872,157599482907.0,940249,66291375182.0,11751,42824993104.0,70278,274063155046.0,2017,12,31
3953352844982.0,3593746100784.0,45538395892.0,28936887759.0,0.0,25471965208.0,259659495339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90877,675073,3397361303552.0,38732,157889503991.0,945891,65341894376.0,11992,44183831657.0,74593,288576311406.0,2018,1,31
3997449837157.0,3632447900281.0,37542263994.0,32900624779.0,0.0,24528410828.0,270030637275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93789,678093,3435171583833.0,31893,149376349043.0,14939,69693738448.0,10838,44198881209.0,67917,299009284624.0,2018,2,28
3984737262294.0,3644654011426.0,40136372380.0,25416940566.0,0.0,27495016506.0,247034921416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77080,678863,3445723879860.0,31800,149327527980.0,13651,64930910798.0,11466,48274043526.0,54110,276480900130.0,2018,3,31
4012481141386.0,3673757539874.0,35070739538.0,26297692646.0,0.0,20822331514.0,256532837814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78916,680544,3472799018310.0,30956,144500128808.0,13669,66537577128.0,10192,41818721587.0,58135,286825695553.0,2018,4,30
4030993454392.0,3694108080373.0,36647800135.0,23603789825.0,0.0,21426083564.0,255207700495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82029,681312,3494054006978.0,31237,145582720058.0,13011,62376357184.0,10226,43081817626.0,60950,285898552546.0,2018,5,31
4050067145298.0,3707775564407.0,33918897341.0,26580007770.0,0.0,20090105214.0,261702570566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85901,678686,3498213932581.0,31409,145756343752.0,14714,69716263872.0,10217,42118625824.0,64454,294261979269.0,2018,6,30
4067681246833.0,3722187464213.0,47193745464.0,23339415589.0,0.0,22196913088.0,252763708479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85679,678654,3521021354675.0,31924,151358063413.0,13847,64630367373.0,10875,44808540483.0,62220,285862920889.0,2018,7,31
